,x,0
0,,"device_1,[None, None, None],1685165911495"
0,,"device_1,[-0.059855044, 0.18435353, 9.873688]device_1,[0, 0.15083471, 9.859323],1685165911512"
0,,"device_1,[0.02633622, 0.14844051, 9.885659],1685165911547"
0,,"device_1,[-0.009576807, 0.18914193, 9.885659],1685165911600"
0,,"device_1,[-0.04309563, 0.14844051, 9.832987],1685165911651"
0,,"device_1,[0.02873042, 0.17477672, 9.861717],1685165911708"
0,,"device_1,[0.01436521, 0.08379706, 9.801862],1685165911760"
0,,"device_1,[-0.031124622, 0.18674773, 10.536881],1685165911816"
0,,"device_1,[0.05746084, 0.11492168, 9.878476],1685165911871"
0,,"device_1,[0.095768064, 0.17956513, 9.868899],1685165911927"
0,,"device_1,[-0.18674773, 0.2801216, 9.847352],1685165911984"
0,,"device_1,[-0.045489833, 0.19632454, 9.849746],1685165912037"
0,,"device_1,[0.11731588, 0.09816227, 9.866506],1685165912092"
0,,"device_1,[-0.059855044, 0.24660277, 9.873688],1685165912151"
0,,"device_1,[-0.007182605, 0.15562311, 9.818622],1685165912202"
0,,"device_1,[-0.021547815, 0.272939, 9.895236],1685165912259"
0,,"device_1,[0.076614454, 0.093373865, 9.880871],1685165912311"
0,,"device_1,[-0.023942016, 0.18195933, 9.873688],1685165912368"
0,,"device_1,[-0.045489833, 0.24181437, 9.825804],1685165912423"
0,,"device_1,[0.021547815, 0.15801731, 9.849746],1685165912477"
0,,"device_1,[0.016759412, 0.21308395, 9.866506],1685165912531"
0,,"device_1,[-0.02633622, 0.1604115, 9.856929],1685165912587"
0,,"device_1,[-0.035913024, 0.21068975, 9.813833],1685165912640"
0,,"device_1,[0.04070143, 0.20829555, 9.830592],1685165912695"
0,,"device_1,[-0.011971008, 0.18674773, 9.844957],1685165912749"
0,,"device_1,[-0.06943185, 0.20829555, 9.888053],1685165912805"
0,,"device_1,[0.016759412, 0.16759412, 9.837775],1685165912860"
0,,"device_1,[0.019153614, 0.19871874, 9.861717],1685165912916"
0,,"device_1,[-0.033518825, 0.19153613, 9.868899],1685165912971"
0,,"device_1,[-0.016759412, 0.15801731, 9.816227],1685165913025"
0,,"device_1,[0.02873042, 0.22744916, 9.861717],1685165913080"
0,,"device_1,[-0.009576807, 0.18914193, 9.835381],1685165913136"
0,,"device_1,[-0.02873042, 0.21787235, 9.871294],1685165913193"
0,,"device_1,[0.011971008, 0.18435353, 9.849746],1685165913244"
0,,"device_1,[-0.007182605, 0.16759412, 9.849746],1685165913299"
0,,"device_1,[-0.02873042, 0.22026655, 9.856929],1685165913354"
0,,"device_1,[-0.007182605, 0.18195933, 9.849746],1685165913410"
0,,"device_1,[-0.02633622, 0.19153613, 9.85214],1685165913472"
0,,"device_1,[0.033518825, 0.15801731, 9.854534],1685165913520"
0,,"device_1,[-0.05267244, 0.21068975, 9.861717],1685165913575"
0,,"device_1,[-0.02633622, 0.18914193, 9.854534],1685165913630"
0,,"device_1,[0.019153614, 0.18195933, 9.873688],1685165913685"
0,,"device_1,[-0.01436521, 0.18674773, 9.849746],1685165913740"
0,,"device_1,[-0.023942016, 0.18195933, 9.873688],1685165913798"
0,,"device_1,[0.01436521, 0.19153613, 9.844957],1685165913849"
0,,"device_1,[0.019153614, 0.20111294, 9.856929],1685165913906"
0,,"device_1,[-0.033518825, 0.19871874, 9.844957],1685165913960"
0,,"device_1,[-0.02873042, 0.19632454, 9.85214],1685165914014"
0,,"device_1,[0.04070143, 0.17477672, 9.854534],1685165914069"
0,,"device_1,[0.009576807, 0.20350714, 9.856929],1685165914124"
0,,"device_1,[-0.019153614, 0.19632454, 9.866506],1685165914180"
0,,"device_1,[0.007182605, 0.20829555, 9.847352],1685165914232"
0,,"device_1,[0.01436521, 0.20590134, 9.866506],1685165914287"
0,,"device_1,[-0.0047884034, 0.18435353, 9.85214],1685165914342"
0,,"device_1,[-0.019153614, 0.19153613, 9.854534],1685165914396"
0,,"device_1,[-0.0023942017, 0.20350714, 9.849746],1685165914452"
0,,"device_1,[0.011971008, 0.19632454, 9.85214],1685165914507"
0,,"device_1,[-0.009576807, 0.20111294, 9.842564],1685165914562"
0,,"device_1,[-0.019153614, 0.19393034, 9.861717],1685165914617"
0,,"device_1,[0.009576807, 0.18674773, 9.844957],1685165914673"
0,,"device_1,[-0.023942016, 0.19153613, 9.85214],1685165914727"
0,,"device_1,[-0.016759412, 0.20829555, 9.854534],1685165914782"
0,,"device_1,[0.009576807, 0.18914193, 9.864111],1685165914836"
0,,"device_1,[0.02633622, 0.20111294, 9.844957],1685165914892"
0,,"device_1,[-0.011971008, 0.19632454, 9.856929],1685165914947"
0,,"device_1,[-0.0047884034, 0.18674773, 9.856929],1685165915004"
0,,"device_1,[0.023942016, 0.17956513, 9.85214],1685165915057"
0,,"device_1,[-0.01436521, 0.16519992, 9.859323],1685165915113"
0,,"device_1,[-0.019153614, 0.20111294, 9.849746],1685165915167"
0,,"device_1,[0.0047884034, 0.16998832, 9.861717],1685165915222"
0,,"device_1,[-0.0023942017, 0.19153613, 9.859323],1685165915281"
0,,"device_1,[0.019153614, 0.18914193, 9.832987],1685165915336"
0,,"device_1,[-0.009576807, 0.18674773, 9.85214],1685165915385"
0,,"device_1,[0.019153614, 0.19393034, 9.854534],1685165915440"
0,,"device_1,[-0.011971008, 0.19153613, 9.856929],1685165915495"
0,,"device_1,[-0.031124622, 0.18674773, 9.85214],1685165915550"
0,,"device_1,[-0.016759412, 0.19153613, 9.849746],1685165915605"
0,,"device_1,[-0.0023942017, 0.18195933, 9.854534],1685165915660"
0,,"device_1,[-0.007182605, 0.20590134, 9.854534],1685165915714"
0,,"device_1,[-0.007182605, 0.18195933, 9.840169],1685165915769"
0,,"device_1,[0.009576807, 0.18914193, 9.861717],1685165915824"
0,,"device_1,[-0.0023942017, 0.19393034, 9.847352],1685165915879"
0,,"device_1,[-0.0047884034, 0.19871874, 9.859323],1685165915934"
0,,"device_1,[-0.016759412, 0.19632454, 9.868899],1685165915989"
0,,"device_1,[-0.009576807, 0.19153613, 9.854534],1685165916044"
