,x,0
0,,"device_1,[-0.19153613, -0.15083471, 9.830592],1685414116094"
0,,"device_1,[-0.20111294, -0.18195933, 9.830592]device_1,[-0.19632454, -0.22266077, 9.835381],1685414116100"
0,,"device_1,[-0.18914193, -0.25857377, 9.828198],1685414116124"
0,,"device_1,[-0.19393034, -0.2801216, 9.818622],1685414116178"
0,,"device_1,[-0.19632454, -0.272939, 9.816227],1685414116262"
0,,"device_1,[-0.20590134, -0.2633622, 9.828198],1685414116282"
0,,"device_1,[-0.20590134, -0.23942018, 9.832987],1685414116361"
0,,"device_1,[-0.19632454, -0.21787235, 9.825804],1685414116394"
0,,"device_1,[-0.17477672, -0.22266077, 9.82341],1685414116468"
0,,"device_1,[-0.19393034, -0.23463176, 9.828198],1685414116501"
0,,"device_1,[-0.19871874, -0.25139117, 9.825804],1685414116572"
0,,"device_1,[-0.19632454, -0.23463176, 9.835381],1685414116612"
0,,"device_1,[-0.19632454, -0.23223756, 9.844957],1685414116670"
0,,"device_1,[-0.17717093, -0.24660277, 9.82341],1685414116735"
0,,"device_1,[-0.20111294, -0.22744916, 9.825804],1685414116776"
0,,"device_1,[-0.19632454, -0.23702596, 9.82341],1685414116878"
0,,"device_1,[-0.18674773, -0.24660277, 9.832987],1685414116887"
0,,"device_1,[-0.18914193, -0.23702596, 9.825804],1685414116947"
0,,"device_1,[-0.20829555, -0.23223756, 9.837775],1685414116995"
0,,"device_1,[-0.18674773, -0.24899697, 9.832987],1685414117051"
0,,"device_1,[-0.20111294, -0.24181437, 9.82341],1685414117105"
0,,"device_1,[-0.19632454, -0.24181437, 9.842564],1685414117186"
0,,"device_1,[-0.20350714, -0.23223756, 9.818622],1685414117214"
0,,"device_1,[-0.19153613, -0.24660277, 9.80665],1685414117270"
0,,"device_1,[-0.20350714, -0.22744916, 9.835381],1685414117358"
0,,"device_1,[-0.21068975, -0.24181437, 9.835381],1685414117377"
0,,"device_1,[-0.21547815, -0.24420857, 9.832987],1685414117448"
0,,"device_1,[-0.20829555, -0.24899697, 9.828198],1685414117487"
0,,"device_1,[-0.20350714, -0.25139117, 9.825804],1685414117542"
0,,"device_1,[-0.20590134, -0.25378537, 9.828198],1685414117594"
0,,"device_1,[-0.20590134, -0.23702596, 9.825804],1685414117648"
0,,"device_1,[-0.18914193, -0.23942018, 9.837775],1685414117704"
0,,"device_1,[-0.19632454, -0.22505496, 9.825804],1685414117758"
0,,"device_1,[-0.21068975, -0.22744916, 9.828198],1685414117813"
0,,"device_1,[-0.19393034, -0.24899697, 9.825804],1685414117871"
0,,"device_1,[-0.20350714, -0.24660277, 9.830592],1685414117923"
0,,"device_1,[-0.20350714, -0.25378537, 9.821015],1685414117977"
0,,"device_1,[-0.20350714, -0.24181437, 9.828198],1685414118033"
0,,"device_1,[-0.21787235, -0.25378537, 9.842564],1685414118087"
0,,"device_1,[-0.20111294, -0.24420857, 9.821015],1685414118177"
0,,"device_1,[-0.19153613, -0.24181437, 9.80665],1685414118198"
0,,"device_1,[-0.21308395, -0.23702596, 9.821015],1685414118267"
0,,"device_1,[-0.20111294, -0.23223756, 9.847352],1685414118307"
0,,"device_1,[-0.20350714, -0.25378537, 9.849746],1685414118369"
0,,"device_1,[-0.20111294, -0.2657564, 9.825804],1685414118469"
0,,"device_1,[-0.20111294, -0.24899697, 9.797073],1685414118475"
0,,"device_1,[-0.19871874, -0.25378537, 9.816227],1685414118537"
0,,"device_1,[-0.20829555, -0.22984336, 9.830592],1685414118586"
0,,"device_1,[-0.19871874, -0.23223756, 9.830592],1685414118648"
0,,"device_1,[-0.19871874, -0.24181437, 9.849746],1685414118690"
0,,"device_1,[-0.38307226, 0.05746084, 9.598354],1685414118744"
0,,"device_1,[-0.7469909, -0.6991069, 8.983045],1685414118806"
0,,"device_1,[-3.3303347, -0.62488663, 12.174516],1685414118857"
0,,"device_1,[-3.41892, -0.39983168, 13.955802],1685414118921"
0,,"device_1,[-6.8186865, 0.6655881, 15.176845],1685414119001"
0,,"device_1,[-3.9001546, 1.0079589, 12.660539],1685414119021"
0,,"device_1,[-3.0095115, 2.2481554, 10.668563],1685414119073"
0,,"device_1,[-2.2457612, 3.0262709, 8.63828],1685414119128"
0,,"device_1,[-2.6839, 3.1890767, 8.087613],1685414119185"
0,,"device_1,[-3.5218706, 2.8754363, 8.511387],1685414119237"
0,,"device_1,[-4.280833, 3.2561142, 8.789114],1685414119293"
0,,"device_1,[-3.8115692, 3.1723173, 8.027759],1685414119347"
