,x,0
0,,"device_2,[None, None, None],1685414117819"
0,,"device_2,[2.1643584, 5.1547165, 12.198458],1685414117871"
0,,"device_2,[5.1355624, 2.018312, 6.5002575],1685414117922"
0,,"device_2,[5.233725, 1.1468226, 10.769119],1685414117974"
0,,"device_2,[3.727772, -0.1388637, 9.095572],1685414118026"
0,,"device_2,[2.8802247, -0.89782566, 10.807426],1685414118078"
0,,"device_2,[2.3319526, 0.58418524, 7.383718],1685414118177"
0,,"device_2,[5.710171, -0.89303726, 10.970232],1685414118182"
0,,"device_2,[3.6056678, 0.11731588, 11.434708],1685414118234"
0,,"device_2,[3.976769, 0.50996494, 7.359776],1685414118286"
0,,"device_2,[3.7708676, 1.2952632, 6.567295],1685414118337"
0,,"device_2,[3.2489316, 0.38307226, 6.217742],1685414118391"
0,,"device_2,[3.8762126, -3.5051112, 10.888829],1685414118444"
0,,"device_2,[7.560889, 1.4053963, 7.9966335],1685414118497"
0,,"device_2,[6.739678, 0.4285621, 7.702147],1685414118550"
0,,"device_2,[6.825869, 1.5993267, 3.775656],1685414118604"
0,,"device_2,[7.560889, -0.110133275, 7.091625],1685414118657"
0,,"device_2,[7.1730285, 2.2170308, 6.38773],1685414118711"
0,,"device_2,[8.583213, 0.9888053, 7.144298],1685414118763"
0,,"device_2,[7.1849995, 0.39983168, 9.562442],1685414118818"
0,,"device_2,[7.943961, 0.89543146, 9.394848],1685414118877"
0,,"device_2,[7.563283, 0.19393034, 9.035717],1685414118926"
0,,"device_2,[8.200141, 1.757344, 7.493851],1685414118996"
0,,"device_2,[7.0844426, 1.340753, 7.1993647],1685414119029"
0,,"device_2,[6.9288197, 2.0757728, 7.69257],1685414119080"
0,,"device_2,[7.2472486, 2.743755, 6.789956],1685414119133"
0,,"device_2,[7.1634517, 3.6032736, 6.0956373],1685414119185"
0,,"device_2,[6.2488666, 3.4859576, 6.483498],1685414119237"
0,,"device_2,[2.0087352, 4.144363, 6.2752028],1685414119289"
0,,"device_2,[1.9536686, 4.4220905, 7.216124],1685414119340"
0,,"device_2,[2.5881321, 3.691859, 9.011775],1685414119391"
0,,"device_2,[4.7788267, 4.1395745, 8.475474],1685414119442"
0,,"device_2,[3.6750996, 7.4962454, 4.000711],1685414119493"
0,,"device_2,[3.3997664, 6.7923503, 5.793968],1685414119544"
0,,"device_2,[0.8762778, 6.6247563, 5.853823],1685414119595"
0,,"device_2,[1.1899183, 7.345411, 6.588843],1685414119648"
0,,"device_2,[2.3918076, 8.154651, 6.667852],1685414119707"
0,,"device_2,[1.1947067, 8.221688, 6.117185],1685414119754"
0,,"device_2,[1.6304513, 7.2568254, 4.6399627],1685414119816"
0,,"device_2,[3.3662477, 6.8091097, 3.2345665],1685414119859"
0,,"device_2,[2.2361844, 7.2544312, 4.1132383],1685414119917"
0,,"device_2,[2.0566192, 7.5225816, 4.3263226],1685414119968"
0,,"device_2,[3.004723, 8.492233, 4.2161894],1685414120020"
0,,"device_2,[4.096479, 8.829816, 5.044583],1685414120073"
0,,"device_2,[4.271256, 9.040505, 4.6830587],1685414120125"
0,,"device_2,[2.5953147, 8.406042, 1.9847932],1685414120176"
0,,"device_2,[1.151611, 8.343793, 2.719813],1685414120228"
0,,"device_2,[1.4197617, 8.183381, 3.8163576],1685414120279"
0,,"device_2,[1.2473791, 8.911219, 2.2266076],1685414120331"
0,,"device_2,[1.0271125, 8.0924015, 0.260968],1685414120381"
0,,"device_2,[0.80205756, 8.647857, 1.1827357],1685414120433"
0,,"device_2,[0.49320555, 9.622296, 2.7605145],1685414120484"
0,,"device_2,[1.1228806, 9.710882, 4.5202527],1685414120550"
0,,"device_2,[-1.5442601, 12.014104, 0.9840169],1685414120586"
0,,"device_2,[1.2593501, 8.882488, 4.3143516],1685414120638"
0,,"device_2,[-1.5298948, 8.477868, 3.9264908],1685414120688"
0,,"device_2,[1.4101849, 9.773131, 3.1890767],1685414120739"
0,,"device_2,[0.581791, 8.590396, 2.255338],1685414120791"
0,,"device_2,[-0.8475474, 8.034941, 1.1563994],1685414120842"
0,,"device_2,[0.07182605, 6.9120603, 2.396596],1685414120893"
0,,"device_2,[-1.9800048, 8.887277, 0.1340753],1685414120944"
0,,"device_2,[1.1252748, 9.646238, 1.4508862],1685414120995"
0,,"device_2,[3.9145198, 10.82658, 2.822764],1685414121046"
0,,"device_2,[1.4053963, 10.723629, 3.9025488],1685414121101"
0,,"device_2,[6.3326635, 7.872135, 6.078878],1685414121153"
0,,"device_2,[5.2409077, 8.540117, 6.3925185],1685414121207"
0,,"device_2,[3.1483753, 5.722142, 5.080496],1685414121261"
0,,"device_2,[4.4196963, 6.469133, 4.235343],1685414121313"
0,,"device_2,[1.4532804, 4.074931, 4.7979803],1685414121367"
0,,"device_2,[4.3598413, 6.847417, 1.6112977],1685414121454"
0,,"device_2,[2.954445, 6.5241995, 6.993463],1685414121474"
0,,"device_2,[3.0095115, 6.7324953, 7.8027034],1685414121530"
0,,"device_2,[7.321469, 8.690952, 8.178593],1685414121581"
0,,"device_2,[0.9648633, 8.568848, 9.643845],1685414121633"
0,,"device_2,[6.5936313, 6.5385647, 12.277467],1685414121687"
0,,"device_2,[-1.6112977, 8.202535, 3.0597897],1685414121745"
0,,"device_2,[4.620809, 8.367735, 4.757279],1685414121793"
0,,"device_2,[2.8275523, 6.5625067, 6.0740895],1685414121846"
0,,"device_2,[2.1332338, 4.987122, 5.755661],1685414121901"
0,,"device_2,[-0.79008657, 4.086902, 4.903325],1685414121955"
0,,"device_2,[0.32321724, 5.4444146, 5.21936],1685414122008"
0,,"device_2,[4.673482, 6.634333, 4.7620673],1685414122061"
0,,"device_2,[-0.7733272, 7.275979, 2.2888567],1685414122119"
0,,"device_2,[7.1275387, 8.760384, 6.7588315],1685414122174"
0,,"device_2,[3.9193082, 7.726089, 7.410054],1685414122222"
0,,"device_2,[3.7684734, 8.848969, 3.7469256],1685414122277"
0,,"device_2,[3.5673606, 7.9104424, 3.2082303],1685414122328"
0,,"device_2,[2.1404164, 6.0285997, 6.0285997],1685414122381"
0,,"device_2,[0.2705448, 6.6295447, 4.489128],1685414122436"
0,,"device_2,[0.37588966, 7.7548194, 4.462792],1685414122489"
0,,"device_2,[-2.3989902, 8.860941, 1.9752164],1685414122542"
0,,"device_2,[5.363012, 10.010158, 10.649409],1685414122596"
0,,"device_2,[2.2529438, 8.374918, 7.7667904],1685414122651"
0,,"device_2,[4.9296613, 7.687782, 8.722076],1685414122703"
0,,"device_2,[1.541866, 5.865794, 2.1380222],1685414122756"
0,,"device_2,[4.220978, 5.3318872, 8.738836],1685414122809"
0,,"device_2,[1.6759412, 5.920861, 4.7788267],1685414122863"
0,,"device_2,[3.2010477, 6.7923503, 5.1020436],1685414122917"
