,x,0
0,,"device_1,[None, None, None],1686511330193"
0,,"device_1,[-0.110133275, -0.14604631, 9.859323]device_1,[-0.11252748, -0.14844051, 9.861717],1686511330201"
0,,"device_1,[-0.12210429, -0.16998832, 9.871294],1686511330228"
0,,"device_1,[-0.110133275, -0.14604631, 9.85214],1686511330577"
0,,"device_1,[-0.11971009, -0.1604115, 9.856929]device_1,[-0.11492168, -0.15801731, 9.859323]device_1,[-0.12928689, -0.1316811, 9.840169]device_1,[-0.11971009, -0.14844051, 9.85214],1686511330584"
0,,"device_1,[-0.12449849, -0.1412579, 9.847352],1686511330586"
0,,"device_1,[-0.1436521, -0.1412579, 9.847352],1686511330608"
0,,"device_1,[-0.12689269, -0.15801731, 9.85214],1686511330662"
0,,"device_1,[-0.1364695, -0.1604115, 9.849746]device_1,[-0.12449849, -0.1364695, 9.864111]device_1,[-0.12210429, -0.15562311, 9.859323]device_1,[-0.107739076, -0.14604631, 9.842564]device_1,[-0.11492168, -0.14844051, 9.844957]device_1,[-0.107739076, -0.1436521, 9.876082],1686511330995"
0,,"device_1,[-0.11252748, -0.15801731, 9.849746],1686511331046"
0,,"device_1,[-0.08379706, -0.11252748, 9.92636]device_1,[-0.1436521, -0.14844051, 9.725247]device_1,[0.04309563, -0.21308395, 9.8042555]device_1,[-0.1436521, -0.12928689, 9.524135]device_1,[-0.40701428, -0.581791, 8.762778]device_1,[-1.1300632, -1.0079589, 24.387339],1686511331397"
0,,"device_1,[-0.91937345, 0.34715924, 9.97185],1686511331425"
0,,"device_1,[3.6822822, -0.18195933, 10.455479],1686511331479"
0,,"device_1,[0.40462008, -0.3184288, 9.830592]device_1,[1.1013328, -0.48841715, 9.842564]device_1,[-0.01436521, -0.23463176, 9.856929]device_1,[-1.0462662, -0.36391866, 9.524135]device_1,[-1.3934253, -0.30645782, 9.993398],1686511331789"
0,,"device_1,[-0.91697925, -0.25378537, 9.837775],1686511331805"
0,,"device_1,[-0.39983168, -0.18914193, 9.9790325],1686511331891"
0,,"device_1,[-3.4596214, -0.6488287, 9.390059],1686511332104"
0,,"device_1,[-0.5386954, -0.7326257, 11.911154]device_1,[-4.0222588, -1.1899183, 7.848193]device_1,[-3.265691, -1.6376339, 9.246407],1686511332124"
0,,"device_1,[-5.104438, -2.8275523, 8.123527],1686511332130"
0,,"device_1,[-4.3766007, -2.7341783, 12.148179],1686511332191"
0,,"device_1,[-4.7788267, -1.8626889, 9.181764],1686511332257"
0,,"device_1,[-3.3758245, 0.58657944, 0.62009823],1686511332294"
0,,"device_1,[-3.323152, -0.21068975, 10.682928],1686511332518"
0,,"device_1,[-2.3104045, 0.009576807, 7.441179]device_1,[-0.34237084, -2.078167, 7.687782]device_1,[1.4796166, -0.81402856, 10.730812],1686511332526"
0,,"device_1,[-0.24660277, -0.48123455, 9.485827],1686511332565"
0,,"device_1,[2.8921957, 3.7588966, -0.23223756],1686511332620"
0,,"device_1,[0.007182605, 0.16759412, 9.512163],1686511332674"
0,,"device_1,[-0.21787235, -0.0023942017, 9.799467]device_1,[-0.23702596, 0.021547815, 9.844957]device_1,[-0.24420857, 0.007182605, 9.847352]device_1,[-0.23223756, 0.019153614, 9.842564]device_1,[-0.23463176, 0.02873042, 9.856929],1686511332979"
0,,"device_1,[-0.25857377, 0.009576807, 9.856929],1686511332996"
0,,"device_1,[-0.24660277, 0.019153614, 9.847352],1686511333052"
0,,"device_1,[-0.23702596, 0.019153614, 9.842564],1686511333111"
0,,"device_1,[-0.25139117, 0.007182605, 9.849746],1686511333340"
0,,"device_1,[-0.23942018, 0.011971008, 9.835381]device_1,[-0.23702596, 0.021547815, 9.85214]device_1,[-0.25617957, 0.01436521, 9.830592]device_1,[-0.23702596, 0.011971008, 9.859323],1686511333395"
0,,"device_1,[-0.24420857, 0.016759412, 9.856929],1686511333480"
0,,"device_1,[-0.22266077, 0.01436521, 9.847352]device_1,[-0.22984336, 0.019153614, 9.837775]device_1,[-0.24420857, 0.009576807, 9.861717]device_1,[-0.23463176, 0.019153614, 9.849746]device_1,[-0.23702596, 0.011971008, 9.844957]device_1,[-0.23223756, 0.016759412, 9.842564],1686511333798"
0,,"device_1,[-0.24181437, 0.02633622, 9.842564],1686511333816"
0,,"device_1,[-0.24899697, 0.011971008, 9.859323],1686511333919"
0,,"device_1,[-0.23463176, 0.0047884034, 9.837775],1686511333926"
0,,"device_1,[-0.23942018, 0.016759412, 9.859323],1686511334213"
0,,"device_1,[-0.24181437, 0.016759412, 9.837775]device_1,[-0.22026655, 0.01436521, 9.844957]device_1,[-0.24660277, 0.007182605, 9.85214]device_1,[-0.25617957, 0.023942016, 9.866506],1686511334235"
0,,"device_1,[-0.22505496, 0.021547815, 9.837775],1686511334255"
0,,"device_1,[-0.23223756, 0.016759412, 9.842564],1686511334310"
0,,"device_1,[-0.22505496, 0.0047884034, 9.847352]device_1,[-0.24181437, 0.009576807, 9.837775]device_1,[-0.25617957, 0.007182605, 9.861717]device_1,[-0.24181437, 0.007182605, 9.849746]device_1,[-0.24420857, 0.011971008, 9.856929]device_1,[-0.24181437, 0.023942016, 9.854534]device_1,[-0.22744916, 0.009576807, 9.871294],1686511334723"
0,,"device_1,[-0.22984336, 0.011971008, 9.849746],1686511334748"
0,,"device_1,[-0.24181437, 0.011971008, 9.859323],1686511334971"
0,,"device_1,[-0.23942018, 0.016759412, 9.847352]device_1,[-0.23942018, -0.009576807, 9.85214]device_1,[-0.2633622, 0.016759412, 9.856929],1686511334993"
0,,"device_1,[-0.23702596, 0.021547815, 9.859323],1686511335023"
0,,"device_1,[-0.23223756, -0.0047884034, 9.866506],1686511335077"
0,,"device_1,[-0.25139117, 0.009576807, 9.861717],1686511335142"
0,,"device_1,[-0.23463176, 0.007182605, 9.866506],1686511335290"
0,,"device_1,[-0.24420857, 0.009576807, 9.847352]device_1,[-0.25378537, 0.01436521, 9.856929],1686511335299"
0,,"device_1,[-0.23223756, -0.0023942017, 9.856929],1686511335351"
0,,"device_1,[-0.22984336, 0.016759412, 9.842564],1686511335490"
0,,"device_1,[-0.22505496, 0.02633622, 9.847352],1686511335503"
0,,"device_1,[-0.22984336, 0.007182605, 9.856929],1686511335517"
0,,"device_1,[-0.23463176, 0.009576807, 9.861717],1686511335591"
0,,"device_1,[-0.24420857, -0.0047884034, 9.847352],1686511335626"
0,,"device_1,[-0.22744916, 0.016759412, 9.847352],1686511335691"
0,,"device_1,[-0.24660277, 0.011971008, 9.859323],1686511335776"
0,,"device_1,[-0.23942018, 0.011971008, 9.840169],1686511335798"
0,,"device_1,[-0.23702596, 0.019153614, 9.859323],1686511335846"
0,,"device_1,[-0.23223756, 0.016759412, 9.849746],1686511335901"
0,,"device_1,[-0.24660277, 0.019153614, 9.842564],1686511335956"
0,,"device_1,[-0.24181437, 0.01436521, 9.854534],1686511336011"
0,,"device_1,[-0.23942018, -0.0023942017, 9.859323],1686511336068"
0,,"device_1,[-0.23702596, 0.007182605, 9.866506],1686511336121"
0,,"device_1,[-0.23463176, 0.011971008, 9.854534],1686511336175"
0,,"device_1,[-0.23223756, 0.0023942017, 9.871294],1686511336231"
0,,"device_1,[-0.22744916, 0.021547815, 9.849746],1686511336286"
