,x,0
0,,"device_1,[None, None, None],1685413969748"
0,,"device_1,[-0.17477672, -0.19393034, 9.847352],1685413969814"
0,,"device_1,[-0.2896984, -0.2753332, 9.813833],1685413969850"
0,,"device_1,[-0.19153613, -0.23223756, 9.842564],1685413969902"
0,,"device_1,[-0.23942018, -0.21068975, 9.840169],1685413969979"
0,,"device_1,[-0.260968, -0.35194764, 9.816227],1685413970007"
0,,"device_1,[-0.15801731, -0.29209262, 9.859323],1685413970059"
0,,"device_1,[-0.23223756, -0.20590134, 9.854534],1685413970114"
0,,"device_1,[-0.12928689, -0.14844051, 9.91439],1685413970168"
0,,"device_1,[-0.20829555, -0.10534488, 9.770737],1685413970223"
0,,"device_1,[-0.36631286, 0.2777274, 9.959879],1685413970278"
0,,"device_1,[-0.19393034, 0.17717093, 9.763555],1685413970333"
0,,"device_1,[0.045489833, -0.62249243, 9.77792],1685413970391"
0,,"device_1,[-1.6017209, 0.9792285, 5.109226],1685413970443"
0,,"device_1,[0.49320555, -0.79008657, 8.896853],1685413970519"
0,,"device_1,[-0.16998832, -0.4285621, 9.507375],1685413970552"
0,,"device_1,[-0.18914193, -0.30645782, 9.583989],1685413970626"
0,,"device_1,[-0.33279404, -0.22026655, 9.97185],1685413970662"
0,,"device_1,[-0.11731588, -0.49081135, 9.811439],1685413970719"
0,,"device_1,[-0.2753332, -1.0845734, 10.132261],1685413970772"
0,,"device_1,[-0.11971009, -0.25139117, 9.749189],1685413970827"
0,,"device_1,[0.009576807, -0.055066638, 9.730036],1685413970881"
0,,"device_1,[-0.09816227, -0.2657564, 9.730036],1685413970937"
0,,"device_1,[-0.48841715, -0.33279404, 10.081984],1685413970992"
0,,"device_1,[-0.15083471, 1.0031705, 10.601525],1685413971047"
0,,"device_1,[-0.81402856, -0.9696517, 9.722853],1685413971102"
0,,"device_1,[-0.2657564, -1.2856863, 10.620679],1685413971159"
0,,"device_1,[-0.830788, -0.6967127, 10.33098],1685413971233"
0,,"device_1,[-0.6560113, -1.2497733, 10.484209],1685413971265"
0,,"device_1,[-1.2904748, -1.5969325, 12.543222],1685413971330"
0,,"device_1,[-1.7381904, -1.163582, 14.204799],1685413971376"
0,,"device_1,[-1.2593501, -0.5770026, 13.757083],1685413971431"
0,,"device_1,[-2.4253263, -0.50757074, 12.492945],1685413971538"
0,,"device_1,[-2.9113493, -0.7182605, 10.867282],1685413971548"
0,,"device_1,[-2.066196, -0.59136784, 8.839393],1685413971601"
0,,"device_1,[-2.2840683, 0.1436521, 8.274361],1685413971660"
0,,"device_1,[-1.4796166, -0.46447513, 8.161834],1685413971705"
0,,"device_1,[-1.7190368, -0.92416185, 8.789114],1685413971759"
0,,"device_1,[-1.0773908, -0.32561144, 8.597578],1685413971814"
0,,"device_1,[-0.7398083, -0.6536171, 8.899248],1685413971869"
0,,"device_1,[-1.5275006, -1.0390835, 8.480263],1685413971924"
0,,"device_1,[-1.2880806, -1.5035586, 8.298303],1685413972004"
0,,"device_1,[-0.7565677, -1.5993267, 8.92319],1685413972038"
0,,"device_1,[-1.3072342, -0.8283938, 8.944737],1685413972089"
0,,"device_1,[-0.46208093, -1.7405846, 8.492233],1685413972144"
0,,"device_1,[0.2681506, -1.6232687, 8.628703],1685413972198"
0,,"device_1,[0.46686932, -4.268862, 10.199299],1685413972254"
0,,"device_1,[1.0103531, -4.63278, 10.192117],1685413972308"
0,,"device_1,[1.7645266, -3.5865142, 9.234436],1685413972365"
