,x,0
0,,"device_2,[None, None, None],1685413962849"
0,,"device_2,[-0.25139117, -0.8690952, 9.828198]device_2,[-0.45010993, -0.7350199, 9.224859],1685413962862"
0,,"device_2,[-0.2825158, -0.89782566, 9.502586],1685413962895"
0,,"device_2,[-0.557849, -1.2880806, 9.868899],1685413962947"
0,,"device_2,[-0.4405331, -1.1611878, 9.397242],1685413963003"
0,,"device_2,[-0.5434838, -0.91937345, 9.564836],1685413963051"
0,,"device_2,[-0.29927522, -1.043872, 9.739613],1685413963103"
0,,"device_2,[-0.39743748, -0.8283938, 9.921572],1685413963155"
0,,"device_2,[-0.19393034, -1.0127473, 9.6845455],1685413963207"
0,,"device_2,[-0.37349546, -1.1779473, 9.895236],1685413963260"
0,,"device_2,[-0.6871359, -0.8690952, 10.33098],1685413963346"
0,,"device_2,[-0.35673606, -1.0103531, 9.370906],1685413963366"
0,,"device_2,[-0.2657564, -1.1109096, 9.346964],1685413963420"
0,,"device_2,[-0.45489833, -0.878672, 9.749189],1685413963474"
0,,"device_2,[-0.47644615, -1.1348516, 10.177752],1685413963544"
0,,"device_2,[-0.45250413, -1.2425907, 9.428367],1685413963581"
0,,"device_2,[-0.19153613, -1.4077905, 9.605537],1685413963634"
0,,"device_2,[-0.44771573, -1.2904748, 9.847352],1685413963688"
0,,"device_2,[-0.5793968, -1.3910311, 9.993398],1685413963742"
0,,"device_2,[-0.4237737, -1.3311762, 9.461885],1685413963795"
0,,"device_2,[-0.0023942017, -1.2306197, 9.409213],1685413963849"
0,,"device_2,[-0.5554548, -0.6967127, 10.055647],1685413963902"
0,,"device_2,[-0.2896984, -0.1604115, 10.800244],1685413963957"
0,,"device_2,[0.25378537, 1.6759412, 10.254366],1685413964010"
0,,"device_2,[2.6743233, 1.7357962, 10.149021],1685413964063"
0,,"device_2,[0.79966336, 1.5586253, 9.437943],1685413964116"
0,,"device_2,[1.0342951, 0.7062895, 9.074024],1685413964170"
0,,"device_2,[1.3024458, 0.8762778, 8.137892],1685413964223"
0,,"device_2,[1.5442601, 1.3455414, 9.68694],1685413964277"
0,,"device_2,[0.5506664, 2.8538885, 9.691729],1685413964331"
0,,"device_2,[1.2952632, 2.9137435, 8.856153],1685413964383"
0,,"device_2,[1.8387469, 3.9671922, 8.532935],1685413964438"
0,,"device_2,[1.091756, 3.5482068, 8.643068],1685413964492"
0,,"device_2,[0.34715924, 4.24492, 8.664616],1685413964545"
0,,"device_2,[1.3742718, 3.775656, 8.66701],1685413964598"
0,,"device_2,[2.111686, 3.0430303, 9.76116],1685413964651"
0,,"device_2,[2.6240451, 2.9472623, 8.892065],1685413964705"
0,,"device_2,[2.5761611, 2.5617957, 9.045294],1685413964759"
0,,"device_2,[2.4372973, 2.719813, 8.918402],1685413964824"
0,,"device_2,[3.643975, 2.0111294, 10.081984],1685413964866"
0,,"device_2,[3.8043866, 1.9512744, 9.3182335],1685413964919"
0,,"device_2,[3.004723, 2.6431987, 9.323022],1685413964984"
0,,"device_2,[2.243367, 3.775656, 8.101978],1685413965026"
0,,"device_2,[3.3183637, 2.7629087, 9.23683],1685413965080"
0,,"device_2,[1.6112977, 3.6966474, 8.3868885],1685413965133"
0,,"device_2,[2.2720973, 3.8139634, 9.097966],1685413965190"
0,,"device_2,[1.4460979, 3.9624038, 8.204929],1685413965241"
0,,"device_2,[2.791639, 3.4883518, 8.779537],1685413965294"
0,,"device_2,[1.4628572, 4.620809, 8.145074],1685413965348"
0,,"device_2,[1.6543933, 4.367024, 8.485051],1685413965401"
0,,"device_2,[1.553837, 4.450821, 8.202535],1685413965454"
0,,"device_2,[2.5929205, 4.1395745, 8.255207],1685413965510"
0,,"device_2,[0.78050977, 4.6375685, 8.48984],1685413965562"
0,,"device_2,[2.1284454, 4.3885717, 8.133103],1685413965615"
0,,"device_2,[0.6392518, 5.269638, 7.941567],1685413965668"
0,,"device_2,[1.2042835, 5.046977, 8.406042],1685413965722"
0,,"device_2,[1.2378023, 5.0182467, 8.197746],1685413965803"
0,,"device_2,[1.0151415, 5.2361193, 7.728483],1685413965828"
0,,"device_2,[0.7038953, 5.3462524, 8.76996],1685413965882"
0,,"device_2,[1.0271125, 5.233725, 7.699753],1685413965935"
0,,"device_2,[0.29209262, 5.422867, 7.8290396],1685413965995"
0,,"device_2,[0.9840169, 5.475539, 8.269572],1685413966042"
0,,"device_2,[0.830788, 5.1571107, 8.288726],1685413966108"
0,,"device_2,[1.1252748, 5.2361193, 8.152257],1685413966149"
0,,"device_2,[1.0319009, 5.2624555, 8.310274],1685413966203"
0,,"device_2,[0.878672, 5.2241483, 8.0684595],1685413966257"
0,,"device_2,[0.9648633, 5.317522, 8.106767],1685413966312"
0,,"device_2,[1.0821792, 5.1786585, 8.288726],1685413966363"
0,,"device_2,[0.7565677, 5.5377884, 7.9702973],1685413966418"
0,,"device_2,[0.60333884, 5.3941364, 7.9367785],1685413966470"
0,,"device_2,[0.7015011, 5.6551046, 7.9607205],1685413966523"
0,,"device_2,[1.0989386, 5.2361193, 8.070854],1685413966616"
0,,"device_2,[0.830788, 5.45878, 8.034941],1685413966630"
0,,"device_2,[0.8499416, 5.5760956, 8.018182],1685413966683"
0,,"device_2,[0.93852705, 5.303157, 7.8625584],1685413966737"
0,,"device_2,[1.1228806, 5.437232, 8.118738],1685413966790"
0,,"device_2,[0.94810385, 5.437232, 7.965509],1685413966843"
0,,"device_2,[0.78050977, 5.48751, 7.9846625],1685413966897"
0,,"device_2,[0.94092125, 5.3127337, 7.9272017],1685413966951"
0,,"device_2,[0.62488663, 5.4899044, 7.929596],1685413967004"
0,,"device_2,[1.1755531, 5.391742, 8.085219],1685413967058"
0,,"device_2,[0.91697925, 5.2959743, 8.118738],1685413967112"
0,,"device_2,[0.91697925, 5.317522, 7.8410106],1685413967165"
0,,"device_2,[1.0414777, 5.4324436, 8.063671],1685413967220"
0,,"device_2,[0.7685388, 5.1379566, 8.252813],1685413967272"
0,,"device_2,[1.067814, 5.2983685, 7.8529816],1685413967326"
0,,"device_2,[0.6823475, 5.422867, 8.094796],1685413967390"
0,,"device_2,[0.9576807, 5.0374002, 8.008605],1685413967442"
0,,"device_2,[1.0606314, 5.509058, 8.463503],1685413967487"
0,,"device_2,[1.1755531, 4.8027687, 8.034941],1685413967540"
0,,"device_2,[0.61770403, 5.595249, 8.14268],1685413967593"
0,,"device_2,[0.8571242, 4.999093, 8.374918],1685413967647"
0,,"device_2,[0.5291186, 5.523423, 7.989451],1685413967700"
0,,"device_2,[0.9768343, 5.1882353, 8.248025],1685413967754"
0,,"device_2,[0.89782566, 5.3606176, 7.85777],1685413967807"
0,,"device_2,[0.79248077, 5.267244, 7.9463553],1685413967860"
0,,"device_2,[0.830788, 5.5760956, 8.157045],1685413967914"
0,,"device_2,[1.1611878, 4.9320555, 7.7308774],1685413967967"
0,,"device_2,[0.7038953, 5.707777, 7.967903],1685413968021"
0,,"device_2,[0.6991069, 5.4061074, 8.042124],1685413968074"
0,,"device_2,[0.866701, 5.566519, 7.9583263],1685413968128"
0,,"device_2,[0.6967127, 5.451597, 7.836222],1685413968181"
0,,"device_2,[0.91937345, 5.463568, 8.135497],1685413968261"
0,,"device_2,[0.92655605, 5.559336, 8.034941],1685413968289"
0,,"device_2,[0.5626374, 5.5377884, 7.680599],1685413968343"
0,,"device_2,[0.866701, 5.5976434, 8.0924015],1685413968397"
0,,"device_2,[0.6488287, 5.5760956, 7.965509],1685413968450"
0,,"device_2,[0.6655881, 5.571307, 7.747637],1685413968504"
0,,"device_2,[0.9720459, 5.5258174, 7.9463553],1685413968558"
0,,"device_2,[0.79966336, 5.57849, 7.9152308],1685413968611"
0,,"device_2,[0.7398083, 5.410896, 7.9248075],1685413968664"
0,,"device_2,[0.6440403, 5.781997, 7.869741],1685413968718"
0,,"device_2,[0.9935937, 5.386954, 7.8386164],1685413968773"
0,,"device_2,[0.92655605, 5.614403, 7.9128366],1685413968825"
0,,"device_2,[0.8499416, 5.499481, 7.9032598],1685413968879"
0,,"device_2,[0.89064306, 5.451597, 7.97748],1685413968933"
0,,"device_2,[0.7230489, 5.5162406, 7.8865004],1685413968986"
0,,"device_2,[0.62488663, 5.6646814, 8.00621],1685413969081"
0,,"device_2,[0.91937345, 5.3582234, 7.9702973],1685413969097"
0,,"device_2,[0.89303726, 5.5617304, 7.8769236],1685413969150"
0,,"device_2,[0.6967127, 5.482722, 8.073248],1685413969200"
0,,"device_2,[0.82121116, 5.544971, 8.015787],1685413969254"
0,,"device_2,[0.8571242, 5.482722, 7.9583263],1685413969307"
0,,"device_2,[0.7541735, 5.461174, 7.867347],1685413969361"
0,,"device_2,[0.7278373, 5.547365, 7.9343843],1685413969414"
0,,"device_2,[0.7230489, 5.437232, 7.941567],1685413969467"
0,,"device_2,[0.7134721, 5.48751, 8.14268],1685413969522"
0,,"device_2,[0.79248077, 5.4683566, 7.905654],1685413969582"
0,,"device_2,[0.63206923, 5.602432, 7.965509],1685413969629"
0,,"device_2,[0.56982, 5.2863975, 7.8745294],1685413969681"
0,,"device_2,[0.6943185, 5.485116, 8.190564],1685413969737"
0,,"device_2,[0.79487497, 5.3318872, 8.030152],1685413969814"
0,,"device_2,[0.7086837, 5.511452, 7.656657],1685413969843"
0,,"device_2,[0.91458505, 5.446809, 8.066066],1685413969899"
0,,"device_2,[0.7158663, 5.4444146, 7.845799],1685413969977"
0,,"device_2,[0.9744401, 5.1666875, 8.1642275],1685413970004"
0,,"device_2,[0.6392518, 5.4563856, 7.9367785],1685413970058"
0,,"device_2,[1.0366893, 5.068525, 7.9870567],1685413970112"
0,,"device_2,[0.9528923, 5.0397944, 8.3150625],1685413970165"
0,,"device_2,[0.58897364, 4.4843397, 8.647857],1685413970219"
0,,"device_2,[1.4030021, 4.132392, 9.696517],1685413970273"
0,,"device_2,[-0.4381389, 4.7022123, 9.277532],1685413970326"
0,,"device_2,[0.39264908, 5.5162406, 7.36217],1685413970382"
0,,"device_2,[-1.3958195, 6.0501475, 10.070012],1685413970436"
0,,"device_2,[-0.50278234, 3.3135753, 8.401254],1685413970516"
0,,"device_2,[0.6512229, 2.7509377, 9.607931],1685413970543"
0,,"device_2,[-1.103727, 3.1364043, 9.514558],1685413970626"
0,,"device_2,[-0.8355764, 3.7349546, 7.881712],1685413970650"
0,,"device_2,[1.4077905, 2.645593, 7.762002],1685413970719"
0,,"device_2,[1.9297266, 1.2186487, 7.275979],1685413970758"
0,,"device_2,[2.0590134, 0.20829555, 8.015787],1685413970812"
0,,"device_2,[4.6950297, 0.7589619, 11.611878],1685413970865"
0,,"device_2,[2.4827871, 1.2880806, 9.344569],1685413970919"
0,,"device_2,[1.8531121, 0.581791, 10.206482],1685413970972"
0,,"device_2,[0.8283938, -1.5514427, 12.976573],1685413971025"
0,,"device_2,[-0.48602295, -1.2162545, 10.9822035],1685413971079"
0,,"device_2,[-0.92655605, -1.2282255, 9.995792],1685413971132"
0,,"device_2,[-0.8451532, -0.37349546, 10.149021],1685413971186"
0,,"device_2,[-1.7142484, -0.90021986, 11.884817],1685413971243"
0,,"device_2,[-2.8778305, -1.0390835, 10.144233],1685413971313"
0,,"device_2,[-2.0374656, -1.6208745, 8.1881695],1685413971347"
0,,"device_2,[-2.765303, -0.7398083, 8.446744],1685413971401"
0,,"device_2,[-2.2744915, -3.1531637, 12.65575],1685413971455"
0,,"device_2,[-0.90979666, -2.6623523, 13.170504],1685413971538"
0,,"device_2,[-1.5658079, -3.7469256, 12.263102],1685413971563"
0,,"device_2,[-1.4508862, -1.8148049, 9.904813],1685413971617"
0,,"device_2,[-0.45010993, -0.21308395, 8.171411],1685413971671"
0,,"device_2,[-0.2896984, 1.7525556, 8.432379],1685413971725"
0,,"device_2,[0.18195933, 1.0773908, 10.201694],1685413971778"
0,,"device_2,[-2.0111294, 1.30484, 11.585542],1685413971831"
0,,"device_2,[-0.8595184, 1.2521675, 9.081207],1685413971884"
0,,"device_2,[-2.468422, 1.9057846, 8.305486],1685413971938"
0,,"device_2,[-2.6886885, 0.78290397, 6.9862804],1685413972002"
0,,"device_2,[-3.0262709, 0.9888053, 7.728483],1685413972046"
0,,"device_2,[-0.7015011, 0.40222588, 9.28232],1685413972098"
0,,"device_2,[1.0079589, 1.5729905, 7.2687964],1685413972152"
0,,"device_2,[3.7349546, 0.9528923, 7.2783732],1685413972209"
0,,"device_2,[4.5633483, 2.3008277, 9.811439],1685413972260"
0,,"device_2,[5.671864, 2.5929205, 9.306262],1685413972357"
0,,"device_2,[4.2305546, 3.3446999, 8.374918],1685413972369"
0,,"device_2,[3.916914, 3.3997664, 9.799467],1685413972420"
0,,"device_2,[1.460463, 2.7509377, 9.516952],1685413972473"
0,,"device_2,[0.44771573, 2.231396, 9.579201],1685413972529"
0,,"device_2,[0.2801216, 1.2282255, 9.002198],1685413972581"
0,,"device_2,[-0.32800564, 1.8531121, 10.426748],1685413972635"
0,,"device_2,[1.673547, 1.8363527, 9.801862],1685413972688"
0,,"device_2,[-0.031124622, 3.0262709, 9.021352],1685413972742"
0,,"device_2,[0.24660277, 1.8555063, 6.4499793],1685413972795"
0,,"device_2,[0.320823, 2.9113493, 10.637438],1685413972850"
0,,"device_2,[-0.34476504, 2.3104045, 6.631939],1685413972902"
0,,"device_2,[-1.5825673, 3.1962593, 5.631162],1685413972956"
0,,"device_2,[2.5833437, 0.82599956, 6.919243],1685413973010"
0,,"device_2,[6.339846, 2.837129, 9.928755],1685413973063"
0,,"device_2,[5.118803, 3.526659, 21.516691],1685413973116"
0,,"device_2,[4.036624, 1.9919758, 15.789761],1685413973177"
0,,"device_2,[0.34237084, 0.842759, 11.547235],1685413973224"
0,,"device_2,[-1.400608, 1.8890251, 9.334992],1685413973278"
0,,"device_2,[2.1332338, -0.3184288, 9.02614],1685413973333"
0,,"device_2,[-1.1444284, 0.6919243, 6.0046577],1685413973383"
0,,"device_2,[-1.4269443, 0.770933, 0.6727707],1685413973437"
0,,"device_2,[1.2354081, 0.22266077, 6.588843],1685413973491"
0,,"device_2,[-1.958457, 0.4189853, 9.224859],1685413973544"
0,,"device_2,[1.8674773, 3.2489316, 17.583017],1685413973598"
0,,"device_2,[3.25372, 3.5338416, 15.198392],1685413973651"
0,,"device_2,[1.6041151, 3.1172507, 6.327875],1685413973705"
0,,"device_2,[2.5617957, 3.5338416, 3.5889084],1685413973785"
0,,"device_2,[5.149928, 1.5897499, 5.731719],1685413973812"
0,,"device_2,[7.36217, 1.3694834, 9.7084875],1685413973865"
0,,"device_2,[3.4165258, -1.6496049, 14.81532],1685413973922"
0,,"device_2,[7.3525934, 0.91458505, 12.157756],1685413974002"
0,,"device_2,[5.2361193, 4.343082, 10.479421],1685413974029"
0,,"device_2,[0.8379706, 4.8003745, 6.859388],1685413974081"
0,,"device_2,[1.5131354, 1.922544, 3.323152],1685413974134"
0,,"device_2,[-0.038307227, 0.7781156, 2.6408045],1685413974188"
0,,"device_2,[0.6703765, 3.1507695, 1.412579],1685413974242"
0,,"device_2,[-0.94570965, 5.5497594, 9.636662],1685413974296"
0,,"device_2,[9.081207, 3.9384618, 16.191986],1685413974349"
0,,"device_2,[4.781221, 4.1515455, 20.623653],1685413974405"
0,,"device_2,[2.719813, 4.331111, 9.672575],1685413974456"
0,,"device_2,[3.5051112, 2.9759927, 4.5920787],1685413974509"
0,,"device_2,[2.6791117, 2.1667526, 3.5218706],1685413974562"
0,,"device_2,[1.1683705, 3.4739866, 3.1962593],1685413974617"
0,,"device_2,[3.083732, 4.570531, 5.9663506],1685413974670"
0,,"device_2,[9.986216, 2.267309, 15.045163],1685413974735"
0,,"device_2,[7.1610575, 5.2624555, 10.524911],1685413974817"
0,,"device_2,[2.681506, 3.7134068, 9.569624],1685413974829"
0,,"device_2,[1.8004397, 2.1499932, 10.608707],1685413974883"
0,,"device_2,[-1.8052281, 2.9113493, 6.4787097],1685413974938"
0,,"device_2,[-0.050278235, 0.17238252, 7.6231384],1685413974991"
0,,"device_2,[-1.412579, 3.6750996, 5.710171],1685413975064"
0,,"device_2,[-1.8483237, 3.1531637, 9.153033],1685413975098"
0,,"device_2,[1.6280571, 3.6894648, 15.308526],1685413975152"
0,,"device_2,[4.2185836, 5.887342, 5.60722],1685413975208"
0,,"device_2,[0.7134721, 6.7684083, 7.7572136],1685413975259"
0,,"device_2,[2.3654714, 2.777274, 2.231396],1685413975313"
0,,"device_2,[-3.9600096, 5.997475, 0.016759412],1685413975366"
0,,"device_2,[1.3551182, 4.8386817, 2.2002714],1685413975420"
0,,"device_2,[5.1259856, 2.2385786, 3.406949],1685413975474"
0,,"device_2,[0.1340753, 8.389283, 11.597513],1685413975527"
0,,"device_2,[12.457031, 6.0764837, 11.939884],1685413975580"
